	"America|255,235,0"	"Asturias|39,39,128"	"Atlante|220,20,60"	"Atlas|236,28,36"	"Cruz Azul|6,53,122"	"Espana|0,0,0"	"Guadalajara|226,20,29"	"Leon|22,118,58"	"Marte|254,39,39"	"Monterrey|0,43,93"	"Morelia|226,34,39"	"Necaxa|237,28,36"	"Oro|255,207,17"	"Pachuca|22,37,119"	"Puebla|43,75,117"	"Santos Laguna|0,128,102"	"Tampico|100,201,255"	"Tecos UAG|255,0,0"	"Tigres UANL|251,175,53"	"Tijuana|237,27,38"	"Toluca|208,17,43"	"UNAM|32,44,86"	"Veracruz|255,0,0"	"Zacatepec|0,128,0"
6 de junio de 1937	4	1	1	0	0	4	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
26 de junio de 1938	4	1	1	0	0	4	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
14 de mayo de 1939	4	2	1	0	0	4	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
17 de marzo de 1940	4	2	1	0	0	5	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
29 de diciembre de 1940	4	2	2	0	0	5	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
10 de mayo de 1942	4	2	2	0	0	6	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
25 de abril de 1943	4	2	2	0	0	6	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
16 de abril de 1944	4	3	2	0	0	6	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
22 de abril de 1945	4	3	2	0	0	7	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
16 de junio de 1946	4	3	2	0	0	7	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0
8 de junio de 1947	4	3	3	0	0	7	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0
29 de junio de 1948	4	3	3	0	0	7	0	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0
17 de julio de 1949	4	3	3	0	0	7	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0
21 de mayo de 1950	4	3	3	0	0	7	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0
29 de abril de 1951	4	3	3	1	0	7	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0
20 de diciembre de 1951	4	3	3	1	0	7	0	3	2	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0
21 de diciembre de 1952	4	3	3	1	0	7	0	3	2	0	0	4	0	0	0	0	1	0	0	0	0	0	2	0
7 de febrero de 1954	4	3	3	1	0	7	0	3	3	0	0	4	0	0	0	0	1	0	0	0	0	0	2	0
23 de enero de 1955	4	3	3	1	0	7	0	3	3	0	0	4	0	0	0	0	1	0	0	0	0	0	2	1
25 de marzo de 1956	4	3	3	1	0	7	0	4	3	0	0	4	0	0	0	0	1	0	0	0	0	0	2	1
20 de enero de 1957	4	3	3	1	0	7	1	4	3	0	0	4	0	0	0	0	1	0	0	0	0	0	2	1
5 de febrero de 1958	4	3	3	1	0	7	1	4	3	0	0	4	0	0	0	0	1	0	0	0	0	0	2	2
11 de enero de 1959	4	3	3	1	0	7	2	4	3	0	0	4	0	0	0	0	1	0	0	0	0	0	2	2
27 de diciembre de 1959	4	3	3	1	0	7	3	4	3	0	0	4	0	0	0	0	1	0	0	0	0	0	2	2
15 de enero de 1961	4	3	3	1	0	7	4	4	3	0	0	4	0	0	0	0	1	0	0	0	0	0	2	2
8 de enero de 1962	4	3	3	1	0	7	5	4	3	0	0	4	0	0	0	0	1	0	0	0	0	0	2	2
20 de diciembre de 1962	4	3	3	1	0	7	5	4	3	0	0	4	1	0	0	0	1	0	0	0	0	0	2	2
7 de enero de 1964	4	3	3	1	0	7	6	4	3	0	0	4	1	0	0	0	1	0	0	0	0	0	2	2
27 de diciembre de 1964	4	3	3	1	0	7	7	4	3	0	0	4	1	0	0	0	1	0	0	0	0	0	2	2
19 de diciembre de 1965	5	3	3	1	0	7	7	4	3	0	0	4	1	0	0	0	1	0	0	0	0	0	2	2
24 de febrero de 1967	5	3	3	1	0	7	7	4	3	0	0	4	1	0	0	0	1	0	0	0	1	0	2	2
28 de enero de 1968	5	3	3	1	0	7	7	4	3	0	0	4	1	0	0	0	1	0	0	0	2	0	2	2
13 de marzo de 1969	5	3	3	1	1	7	7	4	3	0	0	4	1	0	0	0	1	0	0	0	2	0	2	2
23 de diciembre de 1969	5	3	3	1	1	7	8	4	3	0	0	4	1	0	0	0	1	0	0	0	2	0	2	2
11 de octubre de 1970	5	3	3	1	2	7	8	4	3	0	0	4	1	0	0	0	1	0	0	0	2	0	2	2
3 de agosto de 1971	6	3	3	1	2	7	8	4	3	0	0	4	1	0	0	0	1	0	0	0	2	0	2	2
9 de julio de 1972	6	3	3	1	3	7	8	4	3	0	0	4	1	0	0	0	1	0	0	0	2	0	2	2
20 de junio de 1973	6	3	3	1	4	7	8	4	3	0	0	4	1	0	0	0	1	0	0	0	2	0	2	2
19 de mayo de 1974	6	3	3	1	5	7	8	4	3	0	0	4	1	0	0	0	1	0	0	0	2	0	2	2
13 de abril de 1975	6	3	3	1	5	7	8	4	3	0	0	4	1	0	0	0	1	0	0	0	3	0	2	2
8 de agosto de 1976	7	3	3	1	5	7	8	4	3	0	0	4	1	0	0	0	1	0	0	0	3	0	2	2
3 de julio de 1977	7	3	3	1	5	7	8	4	3	0	0	4	1	0	0	0	1	0	0	0	3	1	2	2
